Region/Country/Area,,Year,Series,Value
360,Indonesia,2005,Primary energy production (petajoules),"11,300"
360,Indonesia,2010,Primary energy production (petajoules),"16,607"
360,Indonesia,2015,Primary energy production (petajoules),"17,377"
360,Indonesia,2016,Primary energy production (petajoules),"18,175"
360,Indonesia,2017,Primary energy production (petajoules),"18,277"
360,Indonesia,2018,Primary energy production (petajoules),"20,571"
360,Indonesia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,634"
360,Indonesia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,577"
360,Indonesia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,243"
360,Indonesia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,531"
360,Indonesia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,660"
360,Indonesia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,906"
360,Indonesia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,194"
360,Indonesia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,103"
360,Indonesia,1995,Changes in stocks (petajoules),100
360,Indonesia,2000,Changes in stocks (petajoules),-417
360,Indonesia,2005,Changes in stocks (petajoules),21
360,Indonesia,2010,Changes in stocks (petajoules),2
360,Indonesia,2015,Changes in stocks (petajoules),-30
360,Indonesia,2016,Changes in stocks (petajoules),-119
360,Indonesia,2017,Changes in stocks (petajoules),35
360,Indonesia,2018,Changes in stocks (petajoules),55
360,Indonesia,1995,Total supply (petajoules),"5,279"
360,Indonesia,2000,Total supply (petajoules),"5,855"
360,Indonesia,2005,Total supply (petajoules),"7,037"
360,Indonesia,2010,Total supply (petajoules),"8,074"
360,Indonesia,2015,Total supply (petajoules),"8,747"
360,Indonesia,2016,Total supply (petajoules),"9,389"
360,Indonesia,2017,Total supply (petajoules),"9,048"
360,Indonesia,2018,Total supply (petajoules),"10,415"
360,Indonesia,1995,Supply per capita (gigajoules),26
360,Indonesia,2000,Supply per capita (gigajoules),27
360,Indonesia,2005,Supply per capita (gigajoules),31
360,Indonesia,2010,Supply per capita (gigajoules),33
360,Indonesia,2015,Supply per capita (gigajoules),34
360,Indonesia,2016,Supply per capita (gigajoules),36
360,Indonesia,2017,Supply per capita (gigajoules),34
360,Indonesia,2018,Supply per capita (gigajoules),39
364,Iran (Islamic Republic of),1995,Primary energy production (petajoules),"9,302"
364,Iran (Islamic Republic of),2000,Primary energy production (petajoules),"11,121"
364,Iran (Islamic Republic of),2005,Primary energy production (petajoules),"13,006"
364,Iran (Islamic Republic of),2010,Primary energy production (petajoules),"14,283"
364,Iran (Islamic Republic of),2015,Primary energy production (petajoules),"13,637"
364,Iran (Islamic Republic of),2016,Primary energy production (petajoules),"16,412"
364,Iran (Islamic Republic of),2017,Primary energy production (petajoules),"17,337"
364,Iran (Islamic Republic of),2018,Primary energy production (petajoules),"17,056"
364,Iran (Islamic Republic of),1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,415"
364,Iran (Islamic Republic of),2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,787"
364,Iran (Islamic Republic of),2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,682"
364,Iran (Islamic Republic of),2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,634"
364,Iran (Islamic Republic of),2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,729"
364,Iran (Islamic Republic of),2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,474"
364,Iran (Islamic Republic of),2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,721"
364,Iran (Islamic Republic of),2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,064"
364,Iran (Islamic Republic of),1995,Changes in stocks (petajoules),0
364,Iran (Islamic Republic of),2000,Changes in stocks (petajoules),-52
364,Iran (Islamic Republic of),2005,Changes in stocks (petajoules),103
364,Iran (Islamic Republic of),2010,Changes in stocks (petajoules),69
364,Iran (Islamic Republic of),2015,Changes in stocks (petajoules),7
364,Iran (Islamic Republic of),2016,Changes in stocks (petajoules),-170
364,Iran (Islamic Republic of),2017,Changes in stocks (petajoules),-186
364,Iran (Islamic Republic of),1995,Total supply (petajoules),"3,887"
364,Iran (Islamic Republic of),2000,Total supply (petajoules),"5,386"
364,Iran (Islamic Republic of),2005,Total supply (petajoules),"7,221"
364,Iran (Islamic Republic of),2010,Total supply (petajoules),"8,579"
364,Iran (Islamic Republic of),2015,Total supply (petajoules),"9,901"
364,Iran (Islamic Republic of),2016,Total supply (petajoules),"10,108"
364,Iran (Islamic Republic of),2017,Total supply (petajoules),"10,802"
364,Iran (Islamic Republic of),2018,Total supply (petajoules),"10,992"
364,Iran (Islamic Republic of),1995,Supply per capita (gigajoules),65
364,Iran (Islamic Republic of),2000,Supply per capita (gigajoules),82
364,Iran (Islamic Republic of),2005,Supply per capita (gigajoules),104
364,Iran (Islamic Republic of),2010,Supply per capita (gigajoules),116
364,Iran (Islamic Republic of),2015,Supply per capita (gigajoules),126
364,Iran (Islamic Republic of),2016,Supply per capita (gigajoules),127
364,Iran (Islamic Republic of),2017,Supply per capita (gigajoules),134
364,Iran (Islamic Republic of),2018,Supply per capita (gigajoules),134
368,Iraq,1995,Primary energy production (petajoules),"1,265"
368,Iraq,2000,Primary energy production (petajoules),"5,482"
368,Iraq,2005,Primary energy production (petajoules),"4,147"
368,Iraq,2010,Primary energy production (petajoules),"5,274"
368,Iraq,2015,Primary energy production (petajoules),"7,565"
368,Iraq,2016,Primary energy production (petajoules),"9,667"
368,Iraq,2017,Primary energy production (petajoules),"9,882"
368,Iraq,2018,Primary energy production (petajoules),"9,994"
368,Iraq,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-193
368,Iraq,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,487"
368,Iraq,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,659"
368,Iraq,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,848"
368,Iraq,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,719"
368,Iraq,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,225"
368,Iraq,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,291"
368,Iraq,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,290"
368,Iraq,1995,Changes in stocks (petajoules),0
368,Iraq,2000,Changes in stocks (petajoules),0
368,Iraq,2005,Changes in stocks (petajoules),3
368,Iraq,2010,Changes in stocks (petajoules),1
368,Iraq,2015,Changes in stocks (petajoules),-152
368,Iraq,2016,Changes in stocks (petajoules),133
368,Iraq,2017,Changes in stocks (petajoules),15
368,Iraq,2018,Changes in stocks (petajoules),27
368,Iraq,1995,Total supply (petajoules),"1,072"
368,Iraq,2000,Total supply (petajoules),995
368,Iraq,2005,Total supply (petajoules),"1,485"
368,Iraq,2010,Total supply (petajoules),"1,424"
368,Iraq,2015,Total supply (petajoules),"1,997"
368,Iraq,2016,Total supply (petajoules),"2,309"
368,Iraq,2017,Total supply (petajoules),"2,576"
368,Iraq,2018,Total supply (petajoules),"2,677"
368,Iraq,1995,Supply per capita (gigajoules),53
368,Iraq,2000,Supply per capita (gigajoules),42
368,Iraq,2005,Supply per capita (gigajoules),54
368,Iraq,2010,Supply per capita (gigajoules),48
368,Iraq,2015,Supply per capita (gigajoules),56
368,Iraq,2016,Supply per capita (gigajoules),63
368,Iraq,2017,Supply per capita (gigajoules),69
368,Iraq,2018,Supply per capita (gigajoules),70
372,Ireland,1995,Primary energy production (petajoules),172
372,Ireland,2000,Primary energy production (petajoules),90
372,Ireland,2005,Primary energy production (petajoules),70
372,Ireland,2010,Primary energy production (petajoules),78
372,Ireland,2015,Primary energy production (petajoules),81
372,Ireland,2016,Primary energy production (petajoules),176
372,Ireland,2017,Primary energy production (petajoules),204
372,Ireland,2018,Primary energy production (petajoules),208
372,Ireland,1995,Net imports [Imports - Exports - Bunkers] (petajoules),305
372,Ireland,2000,Net imports [Imports - Exports - Bunkers] (petajoules),488
372,Ireland,2005,Net imports [Imports - Exports - Bunkers] (petajoules),551
372,Ireland,2010,Net imports [Imports - Exports - Bunkers] (petajoules),522
372,Ireland,2015,Net imports [Imports - Exports - Bunkers] (petajoules),491
372,Ireland,2016,Net imports [Imports - Exports - Bunkers] (petajoules),393
372,Ireland,2017,Net imports [Imports - Exports - Bunkers] (petajoules),369
372,Ireland,2018,Net imports [Imports - Exports - Bunkers] (petajoules),372
372,Ireland,1995,Changes in stocks (petajoules),28
372,Ireland,2000,Changes in stocks (petajoules),-2
372,Ireland,2005,Changes in stocks (petajoules),3
372,Ireland,2010,Changes in stocks (petajoules),-8
372,Ireland,2015,Changes in stocks (petajoules),14
372,Ireland,2016,Changes in stocks (petajoules),-16
372,Ireland,2017,Changes in stocks (petajoules),-2
372,Ireland,2018,Changes in stocks (petajoules),3
372,Ireland,1995,Total supply (petajoules),448
372,Ireland,2000,Total supply (petajoules),580
372,Ireland,2005,Total supply (petajoules),618
372,Ireland,2010,Total supply (petajoules),608
372,Ireland,2015,Total supply (petajoules),557
372,Ireland,2016,Total supply (petajoules),585
372,Ireland,2017,Total supply (petajoules),574
372,Ireland,2018,Total supply (petajoules),577
372,Ireland,1995,Supply per capita (gigajoules),124
372,Ireland,2000,Supply per capita (gigajoules),153
372,Ireland,2005,Supply per capita (gigajoules),149
372,Ireland,2010,Supply per capita (gigajoules),134
372,Ireland,2015,Supply per capita (gigajoules),120
372,Ireland,2016,Supply per capita (gigajoules),125
372,Ireland,2017,Supply per capita (gigajoules),121
372,Ireland,2018,Supply per capita (gigajoules),120
833,Isle of Man,2005,Primary energy production (petajoules),0
833,Isle of Man,2010,Primary energy production (petajoules),0
833,Isle of Man,2015,Primary energy production (petajoules),0
833,Isle of Man,2016,Primary energy production (petajoules),0
833,Isle of Man,2017,Primary energy production (petajoules),0
833,Isle of Man,2018,Primary energy production (petajoules),1
833,Isle of Man,2005,Net imports [Imports - Exports - Bunkers] (petajoules),0
833,Isle of Man,2010,Net imports [Imports - Exports - Bunkers] (petajoules),4
833,Isle of Man,2015,Net imports [Imports - Exports - Bunkers] (petajoules),4
833,Isle of Man,2016,Net imports [Imports - Exports - Bunkers] (petajoules),5
833,Isle of Man,2017,Net imports [Imports - Exports - Bunkers] (petajoules),4
833,Isle of Man,2018,Net imports [Imports - Exports - Bunkers] (petajoules),4
833,Isle of Man,2005,Total supply (petajoules),1
833,Isle of Man,2010,Total supply (petajoules),4
833,Isle of Man,2015,Total supply (petajoules),4
833,Isle of Man,2016,Total supply (petajoules),5
833,Isle of Man,2017,Total supply (petajoules),4
833,Isle of Man,2018,Total supply (petajoules),4
833,Isle of Man,2005,Supply per capita (gigajoules),9
833,Isle of Man,2010,Supply per capita (gigajoules),47
833,Isle of Man,2015,Supply per capita (gigajoules),49
833,Isle of Man,2016,Supply per capita (gigajoules),55
833,Isle of Man,2017,Supply per capita (gigajoules),54
833,Isle of Man,2018,Supply per capita (gigajoules),53
376,Israel,1995,Primary energy production (petajoules),23
376,Israel,2000,Primary energy production (petajoules),27
376,Israel,2005,Primary energy production (petajoules),87
376,Israel,2010,Primary energy production (petajoules),162
376,Israel,2015,Primary energy production (petajoules),274
376,Israel,2016,Primary energy production (petajoules),306
376,Israel,2017,Primary energy production (petajoules),320
376,Israel,2018,Primary energy production (petajoules),339
376,Israel,1995,Net imports [Imports - Exports - Bunkers] (petajoules),628
376,Israel,2000,Net imports [Imports - Exports - Bunkers] (petajoules),723
376,Israel,2005,Net imports [Imports - Exports - Bunkers] (petajoules),690
376,Israel,2010,Net imports [Imports - Exports - Bunkers] (petajoules),810
376,Israel,2015,Net imports [Imports - Exports - Bunkers] (petajoules),656
376,Israel,2016,Net imports [Imports - Exports - Bunkers] (petajoules),584
376,Israel,2017,Net imports [Imports - Exports - Bunkers] (petajoules),618
376,Israel,2018,Net imports [Imports - Exports - Bunkers] (petajoules),571
376,Israel,1995,Changes in stocks (petajoules),-1
376,Israel,2000,Changes in stocks (petajoules),-17
376,Israel,2005,Changes in stocks (petajoules),5
376,Israel,2010,Changes in stocks (petajoules),0
376,Israel,2015,Changes in stocks (petajoules),14
376,Israel,2016,Changes in stocks (petajoules),-29
376,Israel,2017,Changes in stocks (petajoules),33
376,Israel,2018,Changes in stocks (petajoules),-26
376,Israel,1995,Total supply (petajoules),652
376,Israel,2000,Total supply (petajoules),767
376,Israel,2005,Total supply (petajoules),773
376,Israel,2010,Total supply (petajoules),972
376,Israel,2015,Total supply (petajoules),915
376,Israel,2016,Total supply (petajoules),918
376,Israel,2017,Total supply (petajoules),906
376,Israel,2018,Total supply (petajoules),935
376,Israel,1995,Supply per capita (gigajoules),122
376,Israel,2000,Supply per capita (gigajoules),128
376,Israel,2005,Supply per capita (gigajoules),117
376,Israel,2010,Supply per capita (gigajoules),132
376,Israel,2015,Supply per capita (gigajoules),115
376,Israel,2016,Supply per capita (gigajoules),113
376,Israel,2017,Supply per capita (gigajoules),110
376,Israel,2018,Supply per capita (gigajoules),112
380,Italy,1995,Primary energy production (petajoules),"1,232"
380,Italy,2000,Primary energy production (petajoules),"1,180"
380,Italy,2005,Primary energy production (petajoules),"1,265"
380,Italy,2010,Primary energy production (petajoules),"1,378"
380,Italy,2015,Primary energy production (petajoules),"1,509"
380,Italy,2016,Primary energy production (petajoules),"1,401"
380,Italy,2017,Primary energy production (petajoules),"1,421"
380,Italy,2018,Primary energy production (petajoules),"1,452"
380,Italy,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"5,439"
380,Italy,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"6,195"
380,Italy,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"6,463"
380,Italy,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"5,967"
380,Italy,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"4,860"
380,Italy,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"4,844"
380,Italy,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"4,964"
380,Italy,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"4,819"
380,Italy,1995,Changes in stocks (petajoules),3
380,Italy,2000,Changes in stocks (petajoules),190
380,Italy,2005,Changes in stocks (petajoules),-69
380,Italy,2010,Changes in stocks (petajoules),68
380,Italy,2015,Changes in stocks (petajoules),-5
380,Italy,2016,Changes in stocks (petajoules),-61
380,Italy,2017,Changes in stocks (petajoules),-24
380,Italy,2018,Changes in stocks (petajoules),-18
380,Italy,1995,Total supply (petajoules),"6,668"
380,Italy,2000,Total supply (petajoules),"7,183"
380,Italy,2005,Total supply (petajoules),"7,797"
380,Italy,2010,Total supply (petajoules),"7,277"
380,Italy,2015,Total supply (petajoules),"6,374"
380,Italy,2016,Total supply (petajoules),"6,307"
380,Italy,2017,Total supply (petajoules),"6,408"
380,Italy,2018,Total supply (petajoules),"6,289"
380,Italy,1995,Supply per capita (gigajoules),117
380,Italy,2000,Supply per capita (gigajoules),126
380,Italy,2005,Supply per capita (gigajoules),133
380,Italy,2010,Supply per capita (gigajoules),123
380,Italy,2015,Supply per capita (gigajoules),105
380,Italy,2016,Supply per capita (gigajoules),104
380,Italy,2017,Supply per capita (gigajoules),106
380,Italy,2018,Supply per capita (gigajoules),104
388,Jamaica,1995,Primary energy production (petajoules),9
388,Jamaica,2000,Primary energy production (petajoules),11
388,Jamaica,2005,Primary energy production (petajoules),15
388,Jamaica,2010,Primary energy production (petajoules),8
388,Jamaica,2015,Primary energy production (petajoules),10
388,Jamaica,2016,Primary energy production (petajoules),9
388,Jamaica,2017,Primary energy production (petajoules),9
388,Jamaica,2018,Primary energy production (petajoules),8
388,Jamaica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),118
388,Jamaica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),144
388,Jamaica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),140
388,Jamaica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),103
388,Jamaica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),108
388,Jamaica,2016,Net imports [Imports - Exports - Bunkers] (petajoules),109
388,Jamaica,2017,Net imports [Imports - Exports - Bunkers] (petajoules),109
388,Jamaica,2018,Net imports [Imports - Exports - Bunkers] (petajoules),108
388,Jamaica,1995,Changes in stocks (petajoules),-3
388,Jamaica,2000,Changes in stocks (petajoules),7
388,Jamaica,2005,Changes in stocks (petajoules),1
388,Jamaica,2010,Changes in stocks (petajoules),-2
388,Jamaica,2015,Changes in stocks (petajoules),0
388,Jamaica,2016,Changes in stocks (petajoules),-2
388,Jamaica,2017,Changes in stocks (petajoules),2
388,Jamaica,2018,Changes in stocks (petajoules),0
388,Jamaica,1995,Total supply (petajoules),130
388,Jamaica,2000,Total supply (petajoules),148
388,Jamaica,2005,Total supply (petajoules),152
388,Jamaica,2010,Total supply (petajoules),113
388,Jamaica,2015,Total supply (petajoules),117
388,Jamaica,2016,Total supply (petajoules),120
388,Jamaica,2017,Total supply (petajoules),115
388,Jamaica,2018,Total supply (petajoules),117
388,Jamaica,1995,Supply per capita (gigajoules),53
388,Jamaica,2000,Supply per capita (gigajoules),57
388,Jamaica,2005,Supply per capita (gigajoules),57
388,Jamaica,2010,Supply per capita (gigajoules),40
388,Jamaica,2015,Supply per capita (gigajoules),41
388,Jamaica,2016,Supply per capita (gigajoules),41
388,Jamaica,2017,Supply per capita (gigajoules),39
388,Jamaica,2018,Supply per capita (gigajoules),40
392,Japan,1995,Primary energy production (petajoules),"4,073"
392,Japan,2000,Primary energy production (petajoules),"4,397"
392,Japan,2005,Primary energy production (petajoules),"4,310"
392,Japan,2010,Primary energy production (petajoules),"4,224"
392,Japan,2015,Primary energy production (petajoules),"1,342"
392,Japan,2016,Primary energy production (petajoules),"1,460"
392,Japan,2017,Primary energy production (petajoules),"1,721"
392,Japan,2018,Primary energy production (petajoules),"2,100"
392,Japan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"16,735"
392,Japan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"17,496"
392,Japan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"17,720"
392,Japan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"16,766"
392,Japan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"16,686"
392,Japan,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"16,291"
392,Japan,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"16,336"
392,Japan,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"15,753"
392,Japan,1995,Changes in stocks (petajoules),56
392,Japan,2000,Changes in stocks (petajoules),165
392,Japan,2005,Changes in stocks (petajoules),100
392,Japan,2010,Changes in stocks (petajoules),-6
392,Japan,2015,Changes in stocks (petajoules),-58
392,Japan,2016,Changes in stocks (petajoules),-74
392,Japan,2017,Changes in stocks (petajoules),-52
392,Japan,2018,Changes in stocks (petajoules),-6
392,Japan,1995,Total supply (petajoules),"20,752"
392,Japan,2000,Total supply (petajoules),"21,727"
392,Japan,2005,Total supply (petajoules),"21,929"
392,Japan,2010,Total supply (petajoules),"20,995"
392,Japan,2015,Total supply (petajoules),"18,086"
392,Japan,2016,Total supply (petajoules),"17,824"
392,Japan,2017,Total supply (petajoules),"18,108"
392,Japan,2018,Total supply (petajoules),"17,859"
392,Japan,1995,Supply per capita (gigajoules),167
392,Japan,2000,Supply per capita (gigajoules),173
392,Japan,2005,Supply per capita (gigajoules),173
392,Japan,2010,Supply per capita (gigajoules),163
392,Japan,2015,Supply per capita (gigajoules),141
392,Japan,2016,Supply per capita (gigajoules),140
392,Japan,2017,Supply per capita (gigajoules),142
392,Japan,2018,Supply per capita (gigajoules),140
832,Jersey,2005,Primary energy production (petajoules),0
832,Jersey,2010,Primary energy production (petajoules),0
832,Jersey,2015,Primary energy production (petajoules),1
832,Jersey,2016,Primary energy production (petajoules),1
832,Jersey,2017,Primary energy production (petajoules),1
832,Jersey,2018,Primary energy production (petajoules),1
832,Jersey,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
832,Jersey,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
832,Jersey,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
832,Jersey,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
832,Jersey,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
832,Jersey,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2
832,Jersey,2017,Net imports [Imports - Exports - Bunkers] (petajoules),2
832,Jersey,2018,Net imports [Imports - Exports - Bunkers] (petajoules),2
832,Jersey,1995,Total supply (petajoules),1
832,Jersey,2000,Total supply (petajoules),1
832,Jersey,2005,Total supply (petajoules),3
832,Jersey,2010,Total supply (petajoules),3
832,Jersey,2015,Total supply (petajoules),3
832,Jersey,2016,Total supply (petajoules),3
832,Jersey,2017,Total supply (petajoules),3
832,Jersey,2018,Total supply (petajoules),3
832,Jersey,1995,Supply per capita (gigajoules),9
832,Jersey,2000,Supply per capita (gigajoules),17
832,Jersey,2005,Supply per capita (gigajoules),28
832,Jersey,2010,Supply per capita (gigajoules),28
832,Jersey,2015,Supply per capita (gigajoules),29
832,Jersey,2016,Supply per capita (gigajoules),29
832,Jersey,2017,Supply per capita (gigajoules),29
832,Jersey,2018,Supply per capita (gigajoules),28
400,Jordan,1995,Primary energy production (petajoules),10
400,Jordan,2000,Primary energy production (petajoules),10
400,Jordan,2005,Primary energy production (petajoules),10
400,Jordan,2010,Primary energy production (petajoules),9
400,Jordan,2015,Primary energy production (petajoules),8
400,Jordan,2016,Primary energy production (petajoules),10
400,Jordan,2017,Primary energy production (petajoules),11
400,Jordan,2018,Primary energy production (petajoules),12
400,Jordan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),160
400,Jordan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),190
400,Jordan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),285
400,Jordan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),300
400,Jordan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),365
400,Jordan,2016,Net imports [Imports - Exports - Bunkers] (petajoules),362
400,Jordan,2017,Net imports [Imports - Exports - Bunkers] (petajoules),386
400,Jordan,2018,Net imports [Imports - Exports - Bunkers] (petajoules),369
400,Jordan,1995,Changes in stocks (petajoules),-2
400,Jordan,2000,Changes in stocks (petajoules),-5
400,Jordan,2005,Changes in stocks (petajoules),7
400,Jordan,2010,Changes in stocks (petajoules),5
400,Jordan,2015,Changes in stocks (petajoules),4
400,Jordan,2016,Changes in stocks (petajoules),2
400,Jordan,2017,Changes in stocks (petajoules),6
400,Jordan,2018,Changes in stocks (petajoules),0
400,Jordan,1995,Total supply (petajoules),172
400,Jordan,2000,Total supply (petajoules),205
400,Jordan,2005,Total supply (petajoules),289
400,Jordan,2010,Total supply (petajoules),303
400,Jordan,2015,Total supply (petajoules),368
400,Jordan,2016,Total supply (petajoules),371
400,Jordan,2017,Total supply (petajoules),391
400,Jordan,2018,Total supply (petajoules),382
400,Jordan,1995,Supply per capita (gigajoules),39
400,Jordan,2000,Supply per capita (gigajoules),42
400,Jordan,2005,Supply per capita (gigajoules),54
400,Jordan,2010,Supply per capita (gigajoules),42
400,Jordan,2015,Supply per capita (gigajoules),40
400,Jordan,2016,Supply per capita (gigajoules),39
400,Jordan,2017,Supply per capita (gigajoules),40
400,Jordan,2018,Supply per capita (gigajoules),38
398,Kazakhstan,1995,Primary energy production (petajoules),"2,663"
398,Kazakhstan,2000,Primary energy production (petajoules),"3,367"
398,Kazakhstan,2005,Primary energy production (petajoules),"5,131"
398,Kazakhstan,2010,Primary energy production (petajoules),"6,770"
398,Kazakhstan,2015,Primary energy production (petajoules),"6,650"
398,Kazakhstan,2016,Primary energy production (petajoules),"6,669"
398,Kazakhstan,2017,Primary energy production (petajoules),"7,389"
398,Kazakhstan,2018,Primary energy production (petajoules),"7,378"
398,Kazakhstan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-477
398,Kazakhstan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,828"
398,Kazakhstan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,771"
398,Kazakhstan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,318"
398,Kazakhstan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,611"
398,Kazakhstan,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,453"
398,Kazakhstan,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,991"
398,Kazakhstan,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,248"
398,Kazakhstan,2000,Changes in stocks (petajoules),-12
398,Kazakhstan,2005,Changes in stocks (petajoules),8
398,Kazakhstan,2010,Changes in stocks (petajoules),88
398,Kazakhstan,2015,Changes in stocks (petajoules),21
398,Kazakhstan,2016,Changes in stocks (petajoules),13
398,Kazakhstan,2017,Changes in stocks (petajoules),45
398,Kazakhstan,2018,Changes in stocks (petajoules),28
398,Kazakhstan,1995,Total supply (petajoules),"2,185"
398,Kazakhstan,2000,Total supply (petajoules),"1,551"
398,Kazakhstan,2005,Total supply (petajoules),"2,352"
398,Kazakhstan,2010,Total supply (petajoules),"3,363"
398,Kazakhstan,2015,Total supply (petajoules),"3,018"
398,Kazakhstan,2016,Total supply (petajoules),"3,203"
398,Kazakhstan,2017,Total supply (petajoules),"3,353"
398,Kazakhstan,2018,Total supply (petajoules),"3,103"
398,Kazakhstan,1995,Supply per capita (gigajoules),137
398,Kazakhstan,2000,Supply per capita (gigajoules),104
398,Kazakhstan,2005,Supply per capita (gigajoules),155
398,Kazakhstan,2010,Supply per capita (gigajoules),207
398,Kazakhstan,2015,Supply per capita (gigajoules),172
398,Kazakhstan,2016,Supply per capita (gigajoules),180
398,Kazakhstan,2017,Supply per capita (gigajoules),185
398,Kazakhstan,2018,Supply per capita (gigajoules),169
404,Kenya,1995,Primary energy production (petajoules),420
404,Kenya,2000,Primary energy production (petajoules),487
404,Kenya,2005,Primary energy production (petajoules),580
404,Kenya,2010,Primary energy production (petajoules),650
404,Kenya,2015,Primary energy production (petajoules),761
404,Kenya,2016,Primary energy production (petajoules),736
404,Kenya,2017,Primary energy production (petajoules),738
404,Kenya,2018,Primary energy production (petajoules),754
404,Kenya,1995,Net imports [Imports - Exports - Bunkers] (petajoules),98
404,Kenya,2000,Net imports [Imports - Exports - Bunkers] (petajoules),141
404,Kenya,2005,Net imports [Imports - Exports - Bunkers] (petajoules),109
404,Kenya,2010,Net imports [Imports - Exports - Bunkers] (petajoules),137
404,Kenya,2015,Net imports [Imports - Exports - Bunkers] (petajoules),189
404,Kenya,2016,Net imports [Imports - Exports - Bunkers] (petajoules),202
404,Kenya,2017,Net imports [Imports - Exports - Bunkers] (petajoules),194
404,Kenya,2018,Net imports [Imports - Exports - Bunkers] (petajoules),219
404,Kenya,2005,Changes in stocks (petajoules),4
404,Kenya,2010,Changes in stocks (petajoules),-5
404,Kenya,2015,Changes in stocks (petajoules),-4
404,Kenya,2016,Changes in stocks (petajoules),0
404,Kenya,2017,Changes in stocks (petajoules),0
404,Kenya,1995,Total supply (petajoules),518
404,Kenya,2000,Total supply (petajoules),627
404,Kenya,2005,Total supply (petajoules),686
404,Kenya,2010,Total supply (petajoules),793
404,Kenya,2015,Total supply (petajoules),953
404,Kenya,2016,Total supply (petajoules),938
404,Kenya,2017,Total supply (petajoules),932
404,Kenya,2018,Total supply (petajoules),972
404,Kenya,1995,Supply per capita (gigajoules),19
404,Kenya,2000,Supply per capita (gigajoules),20
404,Kenya,2005,Supply per capita (gigajoules),19
404,Kenya,2010,Supply per capita (gigajoules),19
404,Kenya,2015,Supply per capita (gigajoules),20
